Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-04 08:00:00,145.003,-0.0269988,2024-09-04 09:30:00,145.12,0.0123832,0.117,0.08%,41.0,-9.0,10.0,1.0
USDJPY,60m,2024-09-04 03:00:00,145.443,-0.0164748,2024-09-04 09:00:00,145.124,-0.0141824,-0.319,-0.22%,41.0,-9.0,0.0,-9.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.064688,2024-09-04 09:00:00,145.124,-0.0643385,-1.887,-1.28%,41.0,-9.0,11.0,2.0
EURUSD,15m,2024-09-04 08:30:00,1.1064,1.81e-05,2024-09-04 09:30:00,1.1059,-4.34e-05,-0.0005,-0.04%,51.0,1.0,-10.0,-9.0
EURUSD,60m,2024-09-03 14:00:00,1.1066,-7.8e-05,2024-09-04 09:00:00,1.1059,0.0001875,-0.0006,-0.06%,51.0,1.0,14.0,15.0
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.000331,2024-09-04 09:00:00,1.1059,0.0002269,-0.0016,-0.14%,51.0,1.0,0.0,1.0
GBPUSD,15m,2024-09-04 05:45:00,1.3119,8.48e-05,2024-09-04 09:30:00,1.3122,7.85e-05,0.0004,0.03%,87.0,37.0,-0.0,37.0
GBPUSD,60m,2024-09-04 05:00:00,1.3119,0.0001861,2024-09-04 09:00:00,1.3122,0.0002227,0.0004,0.03%,87.0,37.0,0.0,37.0
GBPUSD,90m,2024-09-04 04:30:00,1.3119,0.000135,2024-09-04 09:00:00,1.3122,0.0002396,0.0004,0.03%,87.0,37.0,0.0,37.0
AUDUSD,15m,2024-09-04 09:15:00,0.6712,7.52e-05,2024-09-04 09:30:00,0.6711,7.04e-05,-0.0002,-0.03%,56.0,6.0,0.0,6.0
AUDUSD,60m,2024-09-02 18:00:00,0.6795,0.0003012,2024-09-04 09:00:00,0.6711,0.0002424,-0.0085,-1.25%,56.0,6.0,70.0,76.0
AUDUSD,90m,2024-09-02 18:00:00,0.6796,0.0003049,2024-09-04 09:00:00,0.6711,7.89e-05,-0.0086,-1.26%,56.0,6.0,44.0,50.0
USDCAD,15m,2024-09-04 07:00:00,1.3543,6.55e-05,2024-09-04 09:30:00,1.3555,0.0002106,0.0013,0.09%,19.0,-31.0,0.0,-31.0
USDCAD,60m,2024-09-03 18:00:00,1.3554,0.0002081,2024-09-04 09:00:00,1.3555,-0.0001087,0.0002,0.01%,19.0,-31.0,-14.0,-45.0
USDCAD,90m,2024-09-03 18:00:00,1.3552,0.0003555,2024-09-04 09:00:00,1.3555,-9.38e-05,0.0003,0.02%,19.0,-31.0,-11.0,-42.0
