Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-06 01:15:00,143.317,-0.0099508,2024-09-06 02:00:00,143.105,-0.0264636,-0.212,-0.15%,34.0,-16.0,0.0,-16.0
USDJPY,60m,2024-09-05 15:00:00,143.912,0.0690581,2024-09-06 02:00:00,143.105,0.0201749,-0.807,-0.56%,34.0,-16.0,14.0,-2.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.0646878,2024-09-06 01:30:00,143.105,0.0607364,-3.906,-2.66%,34.0,-16.0,44.0,28.0
EURUSD,15m,2024-09-05 23:00:00,1.1115,-1e-07,2024-09-06 02:00:00,1.1116,-1.91e-05,0.0001,0.01%,74.0,24.0,-0.0,24.0
EURUSD,60m,2024-09-05 14:00:00,1.111,0.0001097,2024-09-06 02:00:00,1.1116,3.71e-05,0.0006,0.06%,74.0,24.0,-0.0,24.0
EURUSD,90m,2024-09-05 12:00:00,1.1117,0.0003272,2024-09-06 01:30:00,1.1116,6.93e-05,-0.0001,-0.01%,74.0,24.0,0.0,24.0
GBPUSD,15m,2024-09-05 22:45:00,1.3181,1.41e-05,2024-09-06 02:00:00,1.3176,-5.12e-05,-0.0005,-0.04%,90.0,40.0,0.0,40.0
GBPUSD,60m,2024-09-05 14:00:00,1.3175,0.0001206,2024-09-06 02:00:00,1.3176,-3.65e-05,0.0002,0.01%,90.0,40.0,-0.0,40.0
GBPUSD,90m,2024-09-04 16:30:00,1.315,0.0005653,2024-09-06 01:30:00,1.3176,3.54e-05,0.0026,0.20%,90.0,40.0,-11.0,29.0
AUDUSD,15m,2024-09-06 01:15:00,0.6744,-2.83e-05,2024-09-06 02:00:00,0.6737,-6.01e-05,-0.0007,-0.10%,69.0,19.0,0.0,19.0
AUDUSD,60m,2024-09-05 14:00:00,0.6741,0.0001429,2024-09-06 02:00:00,0.6737,4.56e-05,-0.0004,-0.05%,69.0,19.0,0.0,19.0
AUDUSD,90m,2024-09-04 13:30:00,0.6733,0.0004,2024-09-06 01:30:00,0.6737,0.0001695,0.0004,0.06%,69.0,19.0,-0.0,19.0
USDCAD,15m,2024-09-05 22:15:00,1.3505,-7.95e-05,2024-09-06 02:00:00,1.3502,3.63e-05,-0.0003,-0.02%,14.0,-36.0,0.0,-36.0
USDCAD,60m,2024-09-05 15:00:00,1.3518,0.0001601,2024-09-06 02:00:00,1.3502,-4.71e-05,-0.0016,-0.12%,14.0,-36.0,-14.0,-50.0
USDCAD,90m,2024-09-05 15:00:00,1.3523,3.76e-05,2024-09-06 01:30:00,1.3502,-5.91e-05,-0.0021,-0.16%,14.0,-36.0,0.0,-36.0
