Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-05 01:45:00,143.716,0.0391743,2024-09-05 03:15:00,143.748,0.0495179,0.032,0.02%,32.0,-18.0,0.0,-18.0
USDJPY,60m,2024-09-04 09:00:00,145.206,-0.0089493,2024-09-05 03:00:00,143.748,-6.82e-05,-1.458,-1.00%,32.0,-18.0,28.0,10.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.0646884,2024-09-05 03:00:00,143.748,-0.0711738,-3.263,-2.22%,32.0,-18.0,22.0,4.0
EURUSD,15m,2024-09-05 02:30:00,1.1086,-4.3e-05,2024-09-05 03:15:00,1.1084,-4.34e-05,-0.0002,-0.02%,63.0,13.0,0.0,13.0
EURUSD,60m,2024-09-04 15:00:00,1.1094,0.0002977,2024-09-05 03:00:00,1.1084,1.74e-05,-0.001,-0.09%,63.0,13.0,-14.0,-1.0
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.000331,2024-09-05 03:00:00,1.1084,0.0002295,0.0009,0.08%,63.0,13.0,-0.0,13.0
GBPUSD,15m,2024-09-05 02:30:00,1.3155,3.97e-05,2024-09-05 03:15:00,1.3153,5.04e-05,-0.0003,-0.02%,89.0,39.0,0.0,39.0
GBPUSD,60m,2024-09-04 15:00:00,1.3161,0.0005051,2024-09-05 03:00:00,1.3153,8.14e-05,-0.0008,-0.06%,89.0,39.0,-14.0,25.0
GBPUSD,90m,2024-09-04 16:30:00,1.315,0.0005653,2024-09-05 03:00:00,1.3153,0.0003286,0.0003,0.02%,89.0,39.0,-0.0,39.0
AUDUSD,15m,2024-09-05 02:30:00,0.6731,6.54e-05,2024-09-05 03:15:00,0.6728,5.6e-05,-0.0003,-0.04%,67.0,17.0,0.0,17.0
AUDUSD,60m,2024-09-04 21:00:00,0.6727,0.0002142,2024-09-05 03:00:00,0.6728,0.0001259,0.0001,0.01%,67.0,17.0,-0.0,17.0
AUDUSD,90m,2024-09-04 13:30:00,0.6733,0.0004,2024-09-05 03:00:00,0.6728,0.0003323,-0.0005,-0.07%,67.0,17.0,0.0,17.0
USDCAD,15m,2024-09-05 02:00:00,1.3509,9.47e-05,2024-09-05 03:15:00,1.3509,9.01e-05,0.0,0.00%,14.0,-36.0,0.0,-36.0
USDCAD,60m,2024-09-04 18:00:00,1.3523,-0.0004684,2024-09-05 03:00:00,1.3509,-0.0001607,-0.0014,-0.11%,14.0,-36.0,14.0,-22.0
USDCAD,90m,2024-09-04 12:00:00,1.3558,-5.25e-05,2024-09-05 03:00:00,1.3509,-0.0004302,-0.0049,-0.36%,14.0,-36.0,0.0,-36.0
