Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-04 08:00:00,145.003,-0.0269988,2024-09-04 10:00:00,145.177,0.0260046,0.174,0.12%,40.0,-10.0,10.0,0.0
USDJPY,60m,2024-09-04 03:00:00,145.443,-0.0164748,2024-09-04 10:00:00,145.177,0.003591,-0.266,-0.18%,40.0,-10.0,0.0,-10.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.064688,2024-09-04 09:00:00,145.177,-0.0609556,-1.834,-1.25%,40.0,-10.0,11.0,1.0
EURUSD,15m,2024-09-04 09:30:00,1.1059,-4.34e-05,2024-09-04 10:00:00,1.1057,-6.5e-05,-0.0002,-0.02%,51.0,1.0,0.0,1.0
EURUSD,60m,2024-09-03 14:00:00,1.1066,-7.8e-05,2024-09-04 10:00:00,1.1057,0.0001344,-0.0009,-0.08%,51.0,1.0,0.0,1.0
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.000331,2024-09-04 09:00:00,1.1057,0.0002113,-0.0018,-0.17%,51.0,1.0,0.0,1.0
GBPUSD,15m,2024-09-04 09:30:00,1.3124,8.95e-05,2024-09-04 10:00:00,1.312,6.8e-05,-0.0004,-0.03%,86.0,36.0,0.0,36.0
GBPUSD,60m,2024-09-03 21:00:00,1.3116,-2.84e-05,2024-09-04 10:00:00,1.312,0.0002215,0.0004,0.03%,86.0,36.0,0.0,36.0
GBPUSD,90m,2024-09-04 04:30:00,1.3119,0.000135,2024-09-04 09:00:00,1.312,0.0002231,0.0001,0.01%,86.0,36.0,0.0,36.0
AUDUSD,15m,2024-09-04 09:15:00,0.6712,7.52e-05,2024-09-04 10:00:00,0.6707,6.1e-06,-0.0005,-0.08%,56.0,6.0,0.0,6.0
AUDUSD,60m,2024-09-02 18:00:00,0.6795,0.0003012,2024-09-04 10:00:00,0.6707,0.000218,-0.0088,-1.30%,56.0,6.0,70.0,76.0
AUDUSD,90m,2024-09-02 18:00:00,0.6796,0.0003049,2024-09-04 09:00:00,0.6707,5.51e-05,-0.0089,-1.32%,56.0,6.0,55.0,61.0
USDCAD,15m,2024-09-04 07:00:00,1.3543,6.55e-05,2024-09-04 10:00:00,1.356,0.0002592,0.0018,0.13%,20.0,-30.0,0.0,-30.0
USDCAD,60m,2024-09-03 18:00:00,1.3554,0.0002081,2024-09-04 10:00:00,1.356,1.16e-05,0.0006,0.05%,20.0,-30.0,-14.0,-44.0
USDCAD,90m,2024-09-03 18:00:00,1.3552,0.0003555,2024-09-04 09:00:00,1.356,-6.25e-05,0.0008,0.06%,20.0,-30.0,-11.0,-41.0
