Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %,Evaluation,MACD-Price Evaluation,EVALUATION
USDJPY,15m,2024-09-05 03:45:00,143.828,0.0477202,2024-09-05 08:45:00,143.616,0.0299887,-0.212,-0.15%,34.0,-16.0,0.0,-16.0
USDJPY,60m,2024-09-05 03:00:00,143.828,0.0048795,2024-09-05 08:00:00,143.619,0.0276352,-0.209,-0.15%,34.0,-16.0,0.0,-16.0
USDJPY,90m,2024-09-02 15:00:00,147.011,0.0646884,2024-09-05 07:30:00,143.616,-0.0366675,-3.395,-2.31%,34.0,-16.0,33.0,17.0
EURUSD,15m,2024-09-05 08:00:00,1.1089,8.42e-05,2024-09-05 08:45:00,1.1086,3.56e-05,-0.0002,-0.02%,63.0,13.0,0.0,13.0
EURUSD,60m,2024-09-04 23:00:00,1.1088,0.0002009,2024-09-05 08:00:00,1.1086,-4.7e-05,-0.0001,-0.01%,63.0,13.0,0.0,13.0
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.000331,2024-09-05 07:30:00,1.1086,0.0001195,0.0011,0.10%,63.0,13.0,-0.0,13.0
GBPUSD,15m,2024-09-05 07:15:00,1.3155,5.58e-05,2024-09-05 08:45:00,1.3145,-9.16e-05,-0.0011,-0.08%,89.0,39.0,0.0,39.0
GBPUSD,60m,2024-09-04 15:00:00,1.3161,0.0005051,2024-09-05 08:00:00,1.3145,-8.37e-05,-0.0016,-0.12%,89.0,39.0,-28.0,11.0
GBPUSD,90m,2024-09-05 06:00:00,1.3155,0.0002435,2024-09-05 07:30:00,1.3145,0.0001591,-0.0011,-0.08%,89.0,39.0,0.0,39.0
AUDUSD,15m,2024-09-05 07:00:00,0.6726,-2.4e-06,2024-09-05 08:45:00,0.6718,-8.54e-05,-0.0008,-0.11%,67.0,17.0,0.0,17.0
AUDUSD,60m,2024-09-05 03:00:00,0.6728,0.0001262,2024-09-05 08:00:00,0.6718,-6.4e-06,-0.001,-0.15%,67.0,17.0,0.0,17.0
AUDUSD,90m,2024-09-04 13:30:00,0.6733,0.0004,2024-09-05 07:30:00,0.6718,0.0001895,-0.0015,-0.22%,67.0,17.0,0.0,17.0
USDCAD,15m,2024-09-05 04:30:00,1.351,8.07e-05,2024-09-05 08:45:00,1.3512,5.81e-05,0.0002,0.01%,14.0,-36.0,-0.0,-36.0
USDCAD,60m,2024-09-04 18:00:00,1.3523,-0.0004684,2024-09-05 08:00:00,1.3512,5.68e-05,-0.0011,-0.08%,14.0,-36.0,28.0,-8.0
USDCAD,90m,2024-09-04 12:00:00,1.3558,-5.25e-05,2024-09-05 07:30:00,1.3512,-0.0002306,-0.0046,-0.34%,14.0,-36.0,11.0,-25.0
