Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-08-29 15:30:00,145.4710,0.0514024,2024-08-30 00:15:00,144.9450,-0.0256672,-0.5260,-0.36%,33.00%
USDJPY,60m,2024-08-29 13:00:00,145.4000,0.0438288,2024-08-30 00:00:00,144.9420,-0.0016118,-0.4580,-0.31%,33.00%
USDJPY,90m,2024-08-27 07:30:00,144.9970,0.1126901,2024-08-30 00:00:00,144.9420,0.0199067,-0.0550,-0.04%,33.00%
EURUSD,15m,2024-08-29 18:45:00,1.1088,0.0001836,2024-08-30 00:15:00,1.1084,0.0000848,-0.0004,-0.03%,60.00%
EURUSD,60m,2024-08-29 11:00:00,1.1101,-0.0002234,2024-08-30 00:00:00,1.1084,-0.0001039,-0.0017,-0.16%,60.00%
EURUSD,90m,2024-08-29 04:30:00,1.1140,0.0001981,2024-08-30 00:00:00,1.1084,-0.0002203,-0.0056,-0.50%,60.00%
GBPUSD,15m,2024-08-29 18:45:00,1.3186,0.0002816,2024-08-30 00:15:00,1.3166,-0.0000892,-0.0020,-0.15%,92.00%
GBPUSD,60m,2024-08-29 18:00:00,1.3186,-0.0000731,2024-08-30 00:00:00,1.3166,-0.0001217,-0.0020,-0.15%,92.00%
GBPUSD,90m,2024-08-29 06:00:00,1.3222,0.0000683,2024-08-30 00:00:00,1.3166,-0.0002844,-0.0056,-0.42%,92.00%
AUDUSD,15m,2024-08-29 18:45:00,0.6810,0.0001515,2024-08-30 00:15:00,0.6799,-0.0000510,-0.0011,-0.16%,88.00%
AUDUSD,60m,2024-08-29 18:00:00,0.6810,-0.0000777,2024-08-30 00:00:00,0.6799,-0.0001548,-0.0011,-0.16%,88.00%
AUDUSD,90m,2024-08-29 10:30:00,0.6823,0.0003638,2024-08-30 00:00:00,0.6799,-0.0001081,-0.0024,-0.35%,88.00%
USDCAD,15m,2024-08-29 17:45:00,1.3470,-0.0001799,2024-08-30 00:15:00,1.3486,0.0001761,0.0016,0.12%,8.00%
USDCAD,60m,2024-08-29 14:00:00,1.3481,0.0000989,2024-08-30 00:00:00,1.3486,0.0001887,0.0005,0.04%,8.00%
USDCAD,90m,2024-08-29 13:30:00,1.3481,0.0000862,2024-08-30 00:00:00,1.3486,0.0002605,0.0005,0.04%,8.00%
