Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-09-04 16:45:00,144.3070,-0.0401775,2024-09-04 20:00:00,143.8390,0.0032773,-0.4680,-0.32%,34.00%
USDJPY,60m,2024-09-04 09:00:00,145.2060,-0.0089493,2024-09-04 20:00:00,143.8380,-0.0869274,-1.3680,-0.94%,34.00%
USDJPY,90m,2024-09-02 15:00:00,147.0110,0.0646880,2024-09-04 19:30:00,143.8320,-0.1315663,-3.1790,-2.16%,34.00%
EURUSD,15m,2024-09-04 18:30:00,1.1079,-0.0000911,2024-09-04 20:00:00,1.1079,-0.0001284,0.0000,0.00%,62.00%
EURUSD,60m,2024-09-04 15:00:00,1.1094,0.0002977,2024-09-04 20:00:00,1.1079,0.0002226,-0.0015,-0.13%,62.00%
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.0003310,2024-09-04 19:30:00,1.1079,0.0003847,0.0004,0.03%,62.00%
GBPUSD,15m,2024-09-04 18:30:00,1.3141,-0.0001912,2024-09-04 20:00:00,1.3141,-0.0001553,-0.0000,-0.00%,89.00%
GBPUSD,60m,2024-09-04 15:00:00,1.3161,0.0005051,2024-09-04 20:00:00,1.3141,0.0002462,-0.0020,-0.16%,89.00%
GBPUSD,90m,2024-09-04 16:30:00,1.3150,0.0005653,2024-09-04 19:30:00,1.3141,0.0004590,-0.0009,-0.07%,89.00%
AUDUSD,15m,2024-09-04 19:00:00,0.6718,-0.0002113,2024-09-04 20:00:00,0.6718,-0.0001208,0.0000,0.00%,68.00%
AUDUSD,60m,2024-09-04 15:00:00,0.6738,0.0005499,2024-09-04 20:00:00,0.6718,0.0001699,-0.0020,-0.29%,68.00%
AUDUSD,90m,2024-09-04 13:30:00,0.6733,0.0004000,2024-09-04 19:30:00,0.6718,0.0003567,-0.0015,-0.22%,68.00%
USDCAD,15m,2024-09-04 19:45:00,1.3519,0.0001188,2024-09-04 20:00:00,1.3511,0.0000833,-0.0008,-0.06%,15.00%
USDCAD,60m,2024-09-04 09:00:00,1.3563,-0.0000608,2024-09-04 20:00:00,1.3516,-0.0004072,-0.0047,-0.35%,15.00%
USDCAD,90m,2024-09-04 12:00:00,1.3558,-0.0000525,2024-09-04 19:30:00,1.3516,-0.0005625,-0.0042,-0.31%,15.00%
