Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-09-05 03:45:00,143.8280,0.0477202,2024-09-05 08:00:00,143.2540,-0.0355267,-0.5740,-0.40%,34.00%
USDJPY,60m,2024-09-05 03:00:00,143.8280,0.0048795,2024-09-05 08:00:00,143.2540,0.0043414,-0.5740,-0.40%,34.00%
USDJPY,90m,2024-09-02 15:00:00,147.0110,0.0646884,2024-09-05 07:30:00,143.2540,-0.0597695,-3.7570,-2.56%,34.00%
EURUSD,15m,2024-09-05 07:30:00,1.1089,0.0000823,2024-09-05 08:00:00,1.1084,0.0000528,-0.0005,-0.04%,62.00%
EURUSD,60m,2024-09-04 23:00:00,1.1088,0.0002009,2024-09-05 08:00:00,1.1084,-0.0000627,-0.0004,-0.03%,62.00%
EURUSD,90m,2024-09-02 19:30:00,1.1075,0.0003310,2024-09-05 07:30:00,1.1084,0.0001039,0.0009,0.08%,62.00%
GBPUSD,15m,2024-09-05 07:15:00,1.3155,0.0000558,2024-09-05 08:00:00,1.3140,-0.0000916,-0.0016,-0.12%,90.00%
GBPUSD,60m,2024-09-05 03:00:00,1.3151,0.0000684,2024-09-05 08:00:00,1.3140,-0.0001146,-0.0011,-0.08%,90.00%
GBPUSD,90m,2024-09-05 06:00:00,1.3155,0.0002435,2024-09-05 07:30:00,1.3140,0.0001282,-0.0016,-0.12%,90.00%
AUDUSD,15m,2024-09-05 07:00:00,0.6726,-0.0000024,2024-09-05 08:00:00,0.6720,-0.0000472,-0.0006,-0.08%,67.00%
AUDUSD,60m,2024-09-05 03:00:00,0.6728,0.0001262,2024-09-05 08:00:00,0.6720,0.0000069,-0.0008,-0.12%,67.00%
AUDUSD,90m,2024-09-04 13:30:00,0.6733,0.0004000,2024-09-05 07:30:00,0.6720,0.0002027,-0.0013,-0.19%,67.00%
USDCAD,15m,2024-09-05 04:30:00,1.3510,0.0000807,2024-09-05 08:00:00,1.3514,0.0000577,0.0004,0.03%,14.00%
USDCAD,60m,2024-09-04 18:00:00,1.3523,-0.0004684,2024-09-05 08:00:00,1.3514,0.0000696,-0.0009,-0.07%,14.00%
USDCAD,90m,2024-09-04 12:00:00,1.3558,-0.0000525,2024-09-05 07:30:00,1.3514,-0.0002178,-0.0044,-0.32%,14.00%
