Ticker,Interval,LAST PEAK DATE,LAST PEAK PRICE,LAST PEAK MACD,RECENT PRICE DATE,RECENT PRICE,RECENT MACD,PRICE CHANGE,PERCENTAGE CHANGE,SHORT %
USDJPY,15m,2024-08-27 20:00:00,144.0590,0.0080679,2024-08-27 20:45:00,143.9660,0.0081309,-0.0930,-0.06%,46.00%
USDJPY,60m,2024-08-27 09:00:00,145.0590,0.0651600,2024-08-27 20:00:00,143.9660,-0.0846663,-1.0930,-0.75%,46.00%
USDJPY,90m,2024-08-27 07:30:00,144.9970,0.1126900,2024-08-27 19:30:00,143.9660,-0.0598895,-1.0310,-0.71%,46.00%
EURUSD,15m,2024-08-27 19:15:00,1.1189,0.0002476,2024-08-27 20:45:00,1.1187,0.0000601,-0.0003,-0.02%,89.00%
EURUSD,60m,2024-08-27 14:00:00,1.1172,-0.0000165,2024-08-27 20:00:00,1.1187,0.0002348,0.0015,0.13%,89.00%
EURUSD,90m,2024-08-26 00:00:00,1.1202,0.0008235,2024-08-27 19:30:00,1.1187,0.0001099,-0.0015,-0.13%,89.00%
GBPUSD,15m,2024-08-27 19:45:00,1.3260,0.0001964,2024-08-27 20:45:00,1.3261,0.0000761,0.0001,0.01%,93.00%
GBPUSD,60m,2024-08-27 10:00:00,1.3236,0.0003131,2024-08-27 20:00:00,1.3261,0.0004305,0.0025,0.19%,93.00%
GBPUSD,90m,2024-08-27 09:00:00,1.3236,-0.0000223,2024-08-27 19:30:00,1.3261,0.0003969,0.0025,0.19%,93.00%
AUDUSD,15m,2024-08-27 19:15:00,0.6794,0.0001691,2024-08-27 20:45:00,0.6793,0.0000476,-0.0002,-0.03%,88.00%
AUDUSD,60m,2024-08-27 12:00:00,0.6784,-0.0000056,2024-08-27 20:00:00,0.6793,0.0001061,0.0008,0.12%,88.00%
AUDUSD,90m,2024-08-23 19:30:00,0.6797,0.0009689,2024-08-27 19:30:00,0.6793,0.0000085,-0.0004,-0.07%,88.00%
USDCAD,15m,2024-08-27 20:00:00,1.3451,-0.0000500,2024-08-27 20:45:00,1.3449,-0.0000210,-0.0003,-0.02%,11.00%
USDCAD,60m,2024-08-27 12:00:00,1.3478,0.0000675,2024-08-27 20:00:00,1.3448,-0.0001169,-0.0029,-0.22%,11.00%
USDCAD,90m,2024-08-27 12:00:00,1.3473,0.0001652,2024-08-27 19:30:00,1.3449,0.0000265,-0.0024,-0.18%,11.00%
